,CountryName,CountryCode,HDI,TotalPopulation
149,Senegal,SEN,0.512,16.296
150,Singapore,SGP,0.9380000000000001,5.804
151,Solomon Islands,SLB,0.5670000000000001,0.67
152,Sierra Leone,SLE,0.452,7.813
153,El Salvador,SLV,0.673,6.454
154,Serbia,SRB,0.806,8.772
155,South Sudan,SSD,0.433,11.062
156,Sao Tome and Principe,STP,0.625,0.215
157,Suriname,SUR,0.738,0.581
158,Slovakia,SVK,0.86,5.457
159,Slovenia,SVN,0.917,2.079
160,Sweden,SWE,0.9450000000000001,10.036
161,Eswatini (Kingdom of),SWZ,0.611,1.148
162,Seychelles,SYC,0.796,0.098
163,Syrian Arab Republic,SYR,0.5670000000000001,17.07
164,Chad,TCD,0.398,15.947
165,Togo,TGO,0.515,8.082
166,Thailand,THA,0.777,69.626
167,Tajikistan,TJK,0.668,9.321
168,Turkmenistan,TKM,0.715,5.942
169,Timor-Leste,TLS,0.606,1.293
170,Tonga,TON,0.725,0.10400000000000001
171,Trinidad and Tobago,TTO,0.796,1.395
172,Tunisia,TUN,0.74,11.695
173,Turkey,TUR,0.8200000000000001,83.43
174,Tanzania (United Republic of),TZA,0.529,58.005
175,Uganda,UGA,0.544,44.27
176,Ukraine,UKR,0.779,43.994
177,Uruguay,URY,0.8170000000000001,3.462
178,United States,USA,0.926,329.065
179,Uzbekistan,UZB,0.72,32.982
180,Saint Vincent and the Grenadines,VCT,0.738,0.111
181,Venezuela (Bolivarian Republic of),VEN,0.711,28.516
182,Viet Nam,VNM,0.704,96.462
183,Vanuatu,VUT,0.609,0.30000000000000004
184,Samoa,WSM,0.715,0.197
185,Yemen,YEM,0.47000000000000003,29.162
186,South Africa,ZAF,0.709,58.558
187,Zambia,ZMB,0.584,17.861
188,Zimbabwe,ZWE,0.5710000000000001,14.645
